epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,7072.73,0.43522,1.01902,0.84058,0.80612,0.82048,0.87998,0.81764,0.44979,0.85177,0.83365,0.0005842,0.0005842,0.0005842
44,7232.43,0.44935,1.0571,0.84132,0.85618,0.8271,0.90864,0.8457,0.44891,0.81345,0.83641,0.0005743,0.0005743,0.0005743
45,7392.82,0.44409,1.02771,0.84499,0.82971,0.82817,0.90684,0.8465,0.45054,0.80341,0.8365,0.0005644,0.0005644,0.0005644
46,7554.27,0.4445,0.99062,0.83859,0.89794,0.83394,0.92474,0.86307,0.44585,0.74929,0.83307,0.0005545,0.0005545,0.0005545
47,7715.83,0.45345,0.97946,0.8441,0.90044,0.85391,0.92325,0.86079,0.44655,0.74438,0.83377,0.0005446,0.0005446,0.0005446
48,7876.02,0.44699,0.95652,0.83722,0.91435,0.85186,0.92809,0.86864,0.44377,0.73038,0.83284,0.0005347,0.0005347,0.0005347
49,8036.63,0.43917,0.95295,0.83413,0.7889,0.83029,0.87992,0.81395,0.46011,0.82371,0.83505,0.0005248,0.0005248,0.0005248
50,8195.99,0.43482,0.89615,0.83416,0.85638,0.85318,0.9111,0.84904,0.44343,0.762,0.82954,0.0005149,0.0005149,0.0005149
51,8357.74,0.43302,0.88485,0.83675,0.88662,0.88406,0.93671,0.87258,0.44475,0.69601,0.82802,0.000505,0.000505,0.000505
52,8517.25,0.44211,0.87118,0.8384,0.91809,0.88954,0.94805,0.88505,0.44152,0.65505,0.83188,0.0004951,0.0004951,0.0004951
53,8678.89,0.43832,0.89553,0.83681,0.93189,0.88075,0.95247,0.89072,0.44236,0.6405,0.83239,0.0004852,0.0004852,0.0004852
54,8838.72,0.43705,0.86345,0.83895,0.93707,0.88939,0.95561,0.89169,0.43292,0.62726,0.82664,0.0004753,0.0004753,0.0004753
55,9000.37,0.43577,0.8728,0.82975,0.92687,0.89959,0.95547,0.89342,0.43584,0.61822,0.82706,0.0004654,0.0004654,0.0004654
56,9165.11,0.42906,0.84214,0.83482,0.93775,0.88836,0.95065,0.89214,0.43117,0.62318,0.82514,0.0004555,0.0004555,0.0004555
57,9319.62,0.43003,0.7987,0.83642,0.94272,0.89926,0.9562,0.8942,0.43302,0.57461,0.83144,0.0004456,0.0004456,0.0004456
58,9473.31,0.43249,0.81582,0.83349,0.94335,0.8934,0.9604,0.8945,0.44214,0.59445,0.82942,0.0004357,0.0004357,0.0004357
59,9628.21,0.42796,0.78393,0.83674,0.92036,0.92808,0.95945,0.89527,0.45108,0.55734,0.83416,0.0004258,0.0004258,0.0004258
60,9784.91,0.4304,0.78427,0.83515,0.95439,0.89113,0.96188,0.89891,0.43966,0.56849,0.82933,0.0004159,0.0004159,0.0004159
61,9939.32,0.42307,0.75744,0.8353,0.91923,0.91101,0.9594,0.89773,0.44225,0.5783,0.83392,0.000406,0.000406,0.000406
62,10097.6,0.43057,0.75424,0.83681,0.93714,0.91219,0.96294,0.89935,0.44006,0.55799,0.83038,0.0003961,0.0003961,0.0003961
63,10259.7,0.42197,0.75908,0.83313,0.92458,0.92064,0.96379,0.8993,0.43739,0.56462,0.8263,0.0003862,0.0003862,0.0003862
64,10505,0.42224,0.74063,0.8321,0.92578,0.93926,0.96899,0.90363,0.44292,0.51249,0.82844,0.0003763,0.0003763,0.0003763
65,10759.2,0.4188,0.72828,0.83394,0.94044,0.91561,0.96835,0.90541,0.42908,0.52817,0.82367,0.0003664,0.0003664,0.0003664
66,11007,0.41529,0.70992,0.83451,0.94645,0.92357,0.96649,0.90431,0.43053,0.53289,0.82225,0.0003565,0.0003565,0.0003565
67,11247.3,0.42217,0.69594,0.83256,0.95858,0.91546,0.97124,0.90551,0.44075,0.51038,0.82431,0.0003466,0.0003466,0.0003466
68,11490.1,0.42135,0.72258,0.82392,0.96205,0.93034,0.97187,0.91187,0.4345,0.49233,0.82366,0.0003367,0.0003367,0.0003367
69,11712.5,0.42176,0.72661,0.83441,0.95647,0.93128,0.96649,0.90397,0.43231,0.50727,0.82341,0.0003268,0.0003268,0.0003268
70,11923,0.41898,0.6863,0.83535,0.94852,0.93103,0.97027,0.90518,0.432,0.49783,0.82272,0.0003169,0.0003169,0.0003169
71,12170.3,0.42558,0.73492,0.83215,0.95651,0.92819,0.97107,0.908,0.43186,0.49769,0.82373,0.000307,0.000307,0.000307
72,12413.8,0.42164,0.69684,0.82713,0.95383,0.93331,0.97509,0.91075,0.43409,0.49024,0.82513,0.0002971,0.0002971,0.0002971
73,12617.2,0.4121,0.67985,0.8309,0.94372,0.92846,0.96755,0.90806,0.43083,0.49566,0.82354,0.0002872,0.0002872,0.0002872
74,12827.5,0.41142,0.66686,0.82909,0.95501,0.91891,0.9694,0.90434,0.43532,0.48919,0.8228,0.0002773,0.0002773,0.0002773
75,13082.7,0.41328,0.66995,0.82586,0.95373,0.92723,0.97231,0.91032,0.43504,0.4824,0.82641,0.0002674,0.0002674,0.0002674
76,13311.5,0.40757,0.63931,0.83073,0.96333,0.92474,0.97601,0.91288,0.43288,0.46663,0.8249,0.0002575,0.0002575,0.0002575
77,13537.5,0.41117,0.63703,0.83193,0.92959,0.95959,0.98009,0.9196,0.42604,0.46298,0.82162,0.0002476,0.0002476,0.0002476
